City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
20,Pangkalanbuun,ID,2022-06-14 21:45:57,-2.6833,111.6167,72.93,96,83,2.82,broken clouds,0.0,0.0
21,Cherskiy,RU,2022-06-14 21:45:57,68.75,161.3,64.45,31,6,3.87,clear sky,0.0,0.0
22,Lixourion,GR,2022-06-14 21:45:58,38.2019,20.4314,77.0,88,20,4.61,few clouds,0.0,0.0
23,Ponta Do Sol,PT,2022-06-14 21:34:13,32.6667,-17.1,68.63,72,18,6.44,few clouds,0.0,0.0
24,Salalah,OM,2022-06-14 21:35:20,17.0151,54.0924,84.29,89,75,9.22,broken clouds,0.0,0.0
25,Kapaa,US,2022-06-14 21:45:58,22.0752,-159.319,84.18,72,20,20.71,few clouds,0.0,0.0
26,Guerrero Negro,MX,2022-06-14 21:42:25,27.9769,-114.0611,72.27,54,0,18.03,clear sky,0.0,0.0
27,Salihorsk,BY,2022-06-14 21:45:59,52.7876,27.5415,49.71,92,0,10.56,clear sky,0.0,0.0
28,Cape Town,ZA,2022-06-14 21:45:59,-33.9258,18.4232,50.92,87,20,3.44,few clouds,0.0,0.0
29,Hobart,AU,2022-06-14 21:45:59,-42.8794,147.3294,45.05,86,0,8.05,light rain,0.0,0.0
30,Ribeira Grande,PT,2022-06-14 21:45:57,38.5167,-28.7,64.74,85,100,10.2,overcast clouds,0.0,0.0
31,Mahebourg,MU,2022-06-14 21:37:06,-20.4081,57.7,71.26,88,75,13.8,broken clouds,0.0,0.0
32,Okhotsk,RU,2022-06-14 21:46:00,59.3833,143.3,46.67,81,79,1.88,broken clouds,0.0,0.0
33,Ostrovnoy,RU,2022-06-14 21:46:00,68.0531,39.5131,52.72,88,27,9.95,light rain,0.0,0.0
34,Fortuna,US,2022-06-14 21:36:12,40.5982,-124.1573,64.92,62,0,14.97,clear sky,0.0,0.0
35,Hay River,CA,2022-06-14 21:45:02,60.8156,-115.7999,69.78,40,40,11.5,scattered clouds,0.0,0.0
36,Avarua,CK,2022-06-14 21:46:01,-21.2078,-159.775,80.65,74,32,16.11,scattered clouds,0.0,0.0
37,Tucurui,BR,2022-06-14 21:46:01,-3.7661,-49.6725,75.4,91,69,1.25,broken clouds,0.0,0.0
38,Sassandra,CI,2022-06-14 21:46:01,4.95,-6.0833,77.54,84,100,10.65,light rain,0.0,0.0
39,Marawi,PH,2022-06-14 21:37:42,7.9986,124.2928,68.4,90,79,2.51,broken clouds,0.0,0.0
40,Punta Arenas,CL,2022-06-14 21:41:08,-53.15,-70.9167,37.51,87,0,8.05,clear sky,0.0,0.0
41,Isangel,VU,2022-06-14 21:34:48,-19.55,169.2667,75.31,94,20,2.3,few clouds,0.0,0.0
42,Saskylakh,RU,2022-06-14 21:36:10,71.9167,114.0833,44.08,55,12,13.31,few clouds,0.0,0.0
43,Bahia Blanca,AR,2022-06-14 21:36:18,-38.7196,-62.2724,53.1,51,100,5.35,overcast clouds,0.0,0.0
44,Oster,UA,2022-06-14 21:46:02,50.9506,30.8823,51.96,74,27,7.0,scattered clouds,0.0,0.0
45,Pevek,RU,2022-06-14 21:46:02,69.7008,170.3133,36.37,74,1,6.89,clear sky,0.0,0.0
46,Rush,IE,2022-06-14 21:46:03,53.5223,-6.0931,58.15,74,75,0.0,broken clouds,0.0,0.0
47,Bambous Virieux,MU,2022-06-14 21:36:26,-20.3428,57.7575,71.22,88,75,13.8,broken clouds,0.0,0.0
48,Dikson,RU,2022-06-14 21:35:55,73.5069,80.5464,32.79,79,30,9.26,scattered clouds,0.0,0.0
49,New Norfolk,AU,2022-06-14 21:46:03,-42.7826,147.0587,44.71,84,100,2.59,overcast clouds,0.0,0.0
50,Rikitea,PF,2022-06-14 21:46:04,-23.1203,-134.9692,72.95,70,47,8.99,scattered clouds,0.0,0.0
51,Baghmara,IN,2022-06-14 21:46:04,23.795,86.2085,88.43,47,100,10.36,overcast clouds,0.0,0.0
52,Arman,RU,2022-06-14 21:46:04,59.7,150.1667,48.02,88,100,2.13,overcast clouds,0.0,0.0
53,Victoria,HK,2022-06-14 21:34:27,22.2855,114.1577,79.32,91,100,4.0,light rain,0.0,0.0
54,Atuona,PF,2022-06-14 21:46:05,-9.8,-139.0333,76.89,79,40,20.42,light rain,0.0,0.0
