City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Sinnamary,GF,77.74,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
111,Sept-Iles,CA,62.6,broken clouds,50.2001,-66.3821,Comfort Inn
112,Anadyr,RU,39.7,light rain,64.75,177.4833,Отке17.ру — жильё для командированных
113,Mahibadhoo,MV,82.63,few clouds,3.7833,72.9667,Omadhoo Inn
114,Marfino,RU,54.95,clear sky,55.7028,37.3822,Nemchinovka-Park
115,Tupik,RU,64.94,overcast clouds,54.4253,119.9327,Guest House Orkhideya
116,Araure,VE,70.72,overcast clouds,9.5601,-69.2148,Hotel Las Majaguas
117,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
118,Paamiut,GL,39.09,clear sky,61.994,-49.6678,Pistut
119,Cap Malheureux,MU,72.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
120,Marienburg,PL,56.12,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
121,Steinbach,DE,61.0,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
122,Yaransk,RU,58.8,broken clouds,57.3033,47.8861,Центральная Гостиница
123,Sandnessjoen,NO,49.17,overcast clouds,66.0217,12.6316,Syv Søstre Apartments
124,Asfi,MA,69.66,scattered clouds,32.2994,-9.2372,Hôtel Abda
125,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
126,Geraldton,AU,63.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
127,Chicama,PE,59.54,clear sky,-7.8447,-79.1469,Balihai Bungalows
128,Tual,ID,82.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
129,Tabou,CI,75.79,moderate rain,4.423,-7.3528,hotêl doufoulougou
130,Manali,IN,84.29,overcast clouds,13.1667,80.2667,Sarathy Lodge
132,Redlands,US,89.19,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
133,Khawhai,IN,66.07,overcast clouds,23.3667,93.1167,Homestay Khawhai
134,Dolzhanskaya,RU,68.0,overcast clouds,46.6311,37.8039,"Park-hotel ""Ryba-Kit"""
135,Vestmannaeyjar,IS,49.68,overcast clouds,63.4427,-20.2734,Glamping & Camping
138,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
140,Apodi,BR,71.08,clear sky,-5.6642,-37.7989,Churrascaria e pousada
142,Sicuani,PE,43.36,clear sky,-14.2694,-71.2261,Wilkamayu Hotel
143,Santiago,CL,52.18,haze,-33.4569,-70.6483,Hotel Panamericano
144,Rochelle,FR,69.53,clear sky,46.25,-1.0,Le Clos des Palmiers
145,Taitung,TW,88.07,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
146,Gafargaon,BD,79.77,moderate rain,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
147,Sur,OM,84.61,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
148,Mecca,SA,85.95,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
151,Itaituba,BR,71.51,heavy intensity rain,-4.2761,-55.9836,Hotel Campos
152,Krasnyy Yar,RU,66.13,scattered clouds,46.5331,48.3456,Cottege near Ufa
153,Todos Santos,MX,89.04,clear sky,23.45,-110.2167,Hotel California Todos Santos
154,Kearney,US,77.58,few clouds,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
